Repositorio;Branch;Link
OAM_WebappResetSenha;WEB0350_feature_ga_tags;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_WebappResetSenha?_a=contents&version=GBWEB0350_feature_ga_tags
OAM_WebappResetSenha;development;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_WebappResetSenha?_a=contents&version=GBdevelopment
OAM_WebappResetSenha;feature-TelaResetSenha;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_WebappResetSenha?_a=contents&version=GBfeature-TelaResetSenha
OAM_WebappResetSenha;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_WebappResetSenha?_a=contents&version=GBmaster
TIM_Components_Aptilo;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_Aptilo?_a=contents&version=GBmaster
Camada_Exposição_API_WSO2;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Camada_Exposição_API_WSO2?_a=contents&version=GBmaster
MeuTIM_pweb-portlet-meuPlano;SDN349137;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-meuPlano?_a=contents&version=GBSDN349137
MeuTIM_pweb-portlet-meuPlano;WEB0129;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-meuPlano?_a=contents&version=GBWEB0129
MeuTIM_pweb-portlet-meuPlano;WEB0207;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-meuPlano?_a=contents&version=GBWEB0207
MeuTIM_pweb-portlet-meuPlano;WEB0313;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-meuPlano?_a=contents&version=GBWEB0313
MeuTIM_pweb-portlet-meuPlano;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-meuPlano?_a=contents&version=GBmaster
MeuTIM_acc-portlet-promocaoplugins;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_acc-portlet-promocaoplugins?_a=contents&version=GBmaster
